timestamp,side,asset,price,amount,realizedPnL,uid
2025-07-15T11:12:50.284Z,buy,SOL,159.88,100,0,1752577970284_4473
2025-07-15T11:13:10.049Z,buy,SOL,159.88,100,0,1752577990049_2255
2025-07-15T12:00:17.306Z,buy,DOGE,0.19205,100000,0,1752580817306_8236
2025-07-15T12:00:58.133Z,buy,DOGE,0.19205,100000,0,1752580858133_3539
2025-07-15T12:01:13.203Z,buy,DOGE,0.19205,100000,0,1752580873203_8785
2025-07-15T12:01:42.932Z,buy,DOGE,0.19205,100000,0,1752580902932_8450
